review,rating,date,bank,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,sentiment_label,identified_themes
Good app,5,2025-05-06,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,CBE,Google Play,0.0,0.844,0.156,0.5307,positive,Other
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,0.0,0.761,0.239,0.765,positive,Transaction Performance
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
wow,1,2025-05-05,CBE,Google Play,0.0,0.0,1.0,0.5859,positive,Other
verygood,3,2025-05-05,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
ممتاز جدا,5,2025-05-04,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
it's very low quality application,1,2025-05-04,CBE,Google Play,0.374,0.626,0.0,-0.3384,negative,User Interface & Experience
Very Amazing Apps,5,2025-05-04,CBE,Google Play,0.0,0.328,0.672,0.624,positive,User Interface & Experience
አዛ,1,2025-05-04,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
wow simple life,5,2025-05-04,CBE,Google Play,0.0,0.345,0.655,0.5859,positive,Other
it's nice,5,2025-05-03,CBE,Google Play,0.0,0.263,0.737,0.4215,positive,Other
Why stacked sometimes,5,2025-05-03,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
good app,5,2025-05-03,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
nice,5,2025-05-03,CBE,Google Play,0.0,0.0,1.0,0.4215,positive,Other
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,0.0,0.775,0.225,0.1154,positive,Other
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,0.315,0.685,0.0,-0.7845,negative,Other
nice,5,2025-05-03,CBE,Google Play,0.0,0.0,1.0,0.4215,positive,Other
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,0.291,0.562,0.147,-0.4684,negative,User Interface & Experience
excellent,5,2025-05-02,CBE,Google Play,0.0,0.0,1.0,0.5719,positive,Other
good,5,2025-05-02,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
good,5,2025-05-02,CBE,Google Play,0.0,0.0,1.0,0.4404,positive,Other
Good and fast,5,2025-05-02,CBE,Google Play,0.0,0.408,0.592,0.4404,positive,Other
Unreliable!,1,2025-05-02,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
Best the best fast,5,2025-05-02,CBE,Google Play,0.0,0.192,0.808,0.8555,positive,Other
good app,5,2025-05-02,CBE,Google Play,0.0,0.256,0.744,0.4404,positive,User Interface & Experience
happy,5,2025-05-02,CBE,Google Play,0.0,0.0,1.0,0.5719,positive,User Interface & Experience
fast and reliable,5,2025-05-02,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
network errorrrrrr,2,2025-05-02,CBE,Google Play,0.0,1.0,0.0,0.0,neutral,Other
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,0.118,0.796,0.086,-0.2382,negative,"Transaction Performance, User Interface & Experience, Feature Requests"
